customer_id,tenant_id,customer_name,plan_id,signed_up_at,region
1,acme,Customer 1,1,2023-08-24,NA
2,acme,Customer 2,2,2022-09-23,APAC
3,acme,Customer 3,2,2022-08-05,APAC
4,acme,Customer 4,1,2024-02-18,NA
5,acme,Customer 5,2,2023-07-13,NA
6,acme,Customer 6,2,2024-01-11,NA
7,acme,Customer 7,3,2023-09-05,NA
8,acme,Customer 8,3,2022-12-03,NA
9,acme,Customer 9,2,2022-10-25,APAC
10,acme,Customer 10,1,2022-08-03,NA
11,acme,Customer 11,1,2023-07-15,APAC
12,acme,Customer 12,1,2023-01-29,APAC
13,acme,Customer 13,2,2022-08-10,APAC
14,acme,Customer 14,1,2023-05-19,NA
15,acme,Customer 15,2,2024-02-03,EU
16,acme,Customer 16,2,2023-06-15,APAC
17,acme,Customer 17,1,2023-06-25,NA
18,acme,Customer 18,3,2023-11-30,NA
19,acme,Customer 19,2,2022-10-15,NA
20,acme,Customer 20,2,2024-04-16,EU
21,acme,Customer 21,2,2023-02-02,APAC
22,acme,Customer 22,2,2022-09-12,EU
23,acme,Customer 23,1,2023-03-28,NA
24,acme,Customer 24,3,2023-08-26,NA
25,acme,Customer 25,2,2023-09-08,NA
26,acme,Customer 26,1,2023-09-21,NA
27,acme,Customer 27,2,2022-09-19,NA
28,acme,Customer 28,1,2023-01-16,EU
29,acme,Customer 29,2,2023-12-03,EU
30,acme,Customer 30,2,2024-05-21,APAC
31,acme,Customer 31,2,2023-02-22,EU
32,acme,Customer 32,2,2022-10-06,APAC
33,acme,Customer 33,2,2023-09-20,NA
34,acme,Customer 34,2,2023-05-08,APAC
35,acme,Customer 35,3,2024-04-28,EU
36,acme,Customer 36,2,2023-12-31,APAC
37,acme,Customer 37,2,2022-11-26,APAC
38,acme,Customer 38,3,2023-01-14,APAC
39,acme,Customer 39,2,2024-02-14,APAC
40,acme,Customer 40,1,2024-03-02,EU
41,globex,Customer 41,3,2023-11-05,NA
42,globex,Customer 42,2,2024-05-17,APAC
43,globex,Customer 43,3,2022-12-29,EU
44,globex,Customer 44,2,2023-09-30,APAC
45,globex,Customer 45,2,2023-04-20,APAC
46,globex,Customer 46,2,2023-12-04,NA
47,globex,Customer 47,2,2022-10-12,EU
48,globex,Customer 48,3,2022-11-19,EU
49,globex,Customer 49,2,2023-07-27,EU
50,globex,Customer 50,1,2023-04-22,APAC
51,globex,Customer 51,2,2024-01-12,APAC
52,globex,Customer 52,2,2023-04-21,NA
53,globex,Customer 53,2,2023-02-22,EU
54,globex,Customer 54,2,2023-03-04,NA
55,globex,Customer 55,2,2022-11-11,NA
56,globex,Customer 56,2,2023-09-18,APAC
57,globex,Customer 57,3,2024-03-10,NA
58,globex,Customer 58,1,2022-08-04,APAC
59,globex,Customer 59,2,2024-02-15,EU
60,globex,Customer 60,1,2022-12-05,APAC
61,globex,Customer 61,2,2024-04-11,APAC
62,globex,Customer 62,3,2023-03-18,APAC
63,globex,Customer 63,1,2024-04-18,EU
64,globex,Customer 64,1,2024-02-13,EU
65,globex,Customer 65,1,2022-08-22,APAC
66,globex,Customer 66,2,2022-08-10,APAC
67,globex,Customer 67,1,2022-08-27,NA
68,globex,Customer 68,1,2023-02-14,EU
69,globex,Customer 69,3,2023-06-15,NA
70,globex,Customer 70,2,2023-04-26,APAC
71,globex,Customer 71,2,2022-12-09,APAC
72,globex,Customer 72,2,2023-11-29,EU
73,globex,Customer 73,1,2023-06-22,APAC
74,globex,Customer 74,3,2022-11-11,EU
75,globex,Customer 75,1,2023-08-26,NA
76,globex,Customer 76,2,2024-04-22,NA
77,globex,Customer 77,3,2023-08-10,NA
78,globex,Customer 78,1,2022-12-21,APAC
79,globex,Customer 79,1,2023-09-28,EU
80,globex,Customer 80,2,2024-01-25,EU
81,initech,Customer 81,1,2022-08-18,NA
82,initech,Customer 82,2,2023-03-04,EU
83,initech,Customer 83,2,2023-12-22,EU
84,initech,Customer 84,2,2023-03-15,NA
85,initech,Customer 85,2,2022-10-15,APAC
86,initech,Customer 86,1,2024-03-09,NA
87,initech,Customer 87,2,2023-10-29,APAC
88,initech,Customer 88,3,2024-01-08,NA
89,initech,Customer 89,3,2023-12-20,NA
90,initech,Customer 90,2,2023-06-05,APAC
91,initech,Customer 91,1,2023-01-11,EU
92,initech,Customer 92,2,2023-11-10,NA
93,initech,Customer 93,2,2024-05-14,EU
94,initech,Customer 94,3,2023-09-26,NA
95,initech,Customer 95,1,2024-05-12,NA
96,initech,Customer 96,2,2023-06-04,APAC
97,initech,Customer 97,2,2023-09-12,EU
98,initech,Customer 98,1,2022-10-22,APAC
99,initech,Customer 99,3,2023-08-09,NA
100,initech,Customer 100,1,2022-10-28,EU
101,initech,Customer 101,3,2024-02-24,APAC
102,initech,Customer 102,3,2023-06-29,EU
103,initech,Customer 103,2,2024-02-01,APAC
104,initech,Customer 104,2,2023-07-01,NA
105,initech,Customer 105,3,2024-03-27,EU
106,initech,Customer 106,3,2024-01-22,APAC
107,initech,Customer 107,2,2024-01-09,NA
108,initech,Customer 108,3,2023-07-10,APAC
109,initech,Customer 109,1,2023-11-21,NA
110,initech,Customer 110,2,2023-04-04,EU
111,initech,Customer 111,2,2024-01-03,APAC
112,initech,Customer 112,2,2022-10-11,APAC
113,initech,Customer 113,2,2023-10-08,APAC
114,initech,Customer 114,3,2024-03-31,EU
115,initech,Customer 115,2,2024-03-12,EU
116,initech,Customer 116,2,2023-01-06,NA
117,initech,Customer 117,1,2022-10-08,NA
118,initech,Customer 118,3,2022-11-25,APAC
119,initech,Customer 119,1,2023-08-26,APAC
120,initech,Customer 120,1,2022-11-11,EU
